
Algorithm: I1A1U2

Metric: Euclidean

CLUSTER-0{size: 15 , centroid: 2759}
CLUSTER-98{size: 29 , centroid: 4919}

CLUSTER-99{size: 5 , centroid: 4339}

CLUSTER-100{size: 0 , centroid: 1177}

CLUSTER-101{size: 30 , centroid: 3822}

CLUSTER-102{size: 32 , centroid: 336}

CLUSTER-103{size: 5 , centroid: 214}

CLUSTER-104{size: 0 , centroid: 3576}

CLUSTER-105{size: 0 , centroid: 1269}

CLUSTER-106{size: 3 , centroid: 2715}

CLUSTER-107{size: 17 , centroid: 1920}

CLUSTER-108{size: 14 , centroid: 3265}

CLUSTER-109{size: 7 , centroid: 2527}

CLUSTER-110{size: 18 , centroid: 2275}

CLUSTER-111{size: 8 , centroid: 3278}

CLUSTER-112{size: 5 , centroid: 2953}

CLUSTER-113{size: 5 , centroid: 4472}

CLUSTER-114{size: 14 , centroid: 4368}

CLUSTER-115{size: 27 , centroid: 4189}

CLUSTER-116{size: 29 , centroid: 3678}

CLUSTER-117{size: 2 , centroid: 4957}

CLUSTER-118{size: 125 , centroid: 2019}

CLUSTER-119{size: 11 , centroid: 3246}

CLUSTER-120{size: 7 , centroid: 2779}

CLUSTER-121{size: 8 , centroid: 60}

CLUSTER-122{size: 1 , centroid: 4312}

CLUSTER-123{size: 14 , centroid: 3217}

CLUSTER-124{size: 14 , centroid: 4752}

CLUSTER-125{size: 4 , centroid: 3676}

CLUSTER-126{size: 33 , centroid: 3469}

CLUSTER-127{size: 5 , centroid: 4624}

CLUSTER-128{size: 20 , centroid: 4344}

CLUSTER-129{size: 3 , centroid: 4025}

CLUSTER-130{size: 19 , centroid: 464}

CLUSTER-131{size: 0 , centroid: 1168}

CLUSTER-132{size: 31 , centroid: 572}

CLUSTER-133{size: 0 , centroid: 1601}

CLUSTER-134{size: 2 , centroid: 2996}

CLUSTER-135{size: 32 , centroid: 2558}

CLUSTER-136{size: 15 , centroid: 333}

CLUSTER-137{size: 44 , centroid: 3303}

CLUSTER-138{size: 0 , centroid: 629}

CLUSTER-139{size: 0 , centroid: 1248}

CLUSTER-140{size: 12 , centroid: 4906}

CLUSTER-141{size: 24 , centroid: 2993}

CLUSTER-142{size: 21 , centroid: 2681}

CLUSTER-143{size: 8 , centroid: 1082}

CLUSTER-144{size: 31 , centroid: 2856}

CLUSTER-145{size: 17 , centroid: 3380}

CLUSTER-146{size: 7 , centroid: 3614}

CLUSTER-147{size: 4 , centroid: 3362}

CLUSTER-148{size: 12 , centroid: 1121}

CLUSTER-149{size: 227 , centroid: 3592}

CLUSTER-150{size: 20 , centroid: 2944}

CLUSTER-151{size: 2 , centroid: 1581}

CLUSTER-152{size: 2 , centroid: 2222}

CLUSTER-153{size: 22 , centroid: 3651}

CLUSTER-154{size: 2 , centroid: 3153}

CLUSTER-155{size: 8 , centroid: 2441}

CLUSTER-156{size: 3 , centroid: 3082}

CLUSTER-157{size: 6 , centroid: 1202}

CLUSTER-158{size: 23 , centroid: 3494}

CLUSTER-159{size: 3 , centroid: 3988}

CLUSTER-160{size: 13 , centroid: 3665}

CLUSTER-161{size: 12 , centroid: 4945}

CLUSTER-162{size: 0 , centroid: 4174}

CLUSTER-163{size: 5 , centroid: 3703}

CLUSTER-164{size: 5 , centroid: 1657}

CLUSTER-165{size: 2 , centroid: 151}

CLUSTER-166{size: 12 , centroid: 1179}

CLUSTER-167{size: 13 , centroid: 3312}

CLUSTER-168{size: 9 , centroid: 2279}

CLUSTER-169{size: 62 , centroid: 4302}

CLUSTER-170{size: 43 , centroid: 2903}

CLUSTER-171{size: 27 , centroid: 4000}

CLUSTER-172{size: 4 , centroid: 4149}

CLUSTER-173{size: 0 , centroid: 3897}

CLUSTER-174{size: 3 , centroid: 4106}

CLUSTER-175{size: 18 , centroid: 4252}

CLUSTER-176{size: 4 , centroid: 4644}

CLUSTER-177{size: 14 , centroid: 3960}

CLUSTER-178{size: 11 , centroid: 4742}

CLUSTER-179{size: 5 , centroid: 1212}

CLUSTER-180{size: 26 , centroid: 869}

CLUSTER-181{size: 14 , centroid: 620}

CLUSTER-182{size: 0 , centroid: 4934}

CLUSTER-183{size: 21 , centroid: 1378}

CLUSTER-184{size: 44 , centroid: 2283}

CLUSTER-185{size: 0 , centroid: 4288}

CLUSTER-186{size: 78 , centroid: 4334}

CLUSTER-187{size: 12 , centroid: 3833}

CLUSTER-188{size: 21 , centroid: 4481}

CLUSTER-189{size: 8 , centroid: 2468}

CLUSTER-190{size: 5 , centroid: 15}

CLUSTER-191{size: 6 , centroid: 4079}

CLUSTER-192{size: 5 , centroid: 4686}

CLUSTER-193{size: 20 , centroid: 5000}

CLUSTER-194{size: 14 , centroid: 2722}

CLUSTER-195{size: 10 , centroid: 638}

CLUSTER-196{size: 27 , centroid: 1943}

CLUSTER-197{size: 3 , centroid: 4236}

CLUSTER-198{size: 2 , centroid: 2429}

CLUSTER-199{size: 15 , centroid: 4559}

clustering_time: 143.963
Silhouette: [0.571037,-0.162723,0.333052,0.494328,0.181099,0.677311,0.752373,0.183662,0.202784,1,0.787201,0.390352,0.335037,0.285198,0.0734262,0.390583,0.183735,0.541343,0.0943997,0.599292,0.302952,0.319418,0.831487,0.330804,0.147453,-0.218534,0.358638,0.355292,0.326261,0.394948,0.346165,0.158599,0.559956,0.211297,0.558472,0.0768608,0.152729,0.0561897,0.127261,0.37474,0.316025,0.502874,0.208965,0.927448,0.451171,1,0.502361,0.1567,0.551969,1,0.431216,0.546554,0.400365,0.0076213,0.509081,0.45411,0.562437,0.798602,0.136484,0.158716,0.493881,0.365908,0.602433,0.856913,0.368786,0.610863,0.382959,0.258198,0.310664,0.484766,0.606061,0.338159,0.619309,0.737689,0.513205,0.360549,0.612031,0.603071,0.643679,-0.0267969,0.902834,0.417381,0.352082,0.225054,0.512491,0.0598529,0.53955,0.664003,0.383068,0.297977,0.578339,0.582989,0.200252,0.193459,0.526178,0.312851,0.457218,0.271415,0.559021,0.168753,0.617844,0.50657,0.358619,1,0.0354231,0.342863,0.528485,0.0419262,0.548201,0.26232,0.774467,0.671536,0.206556,0.743518,0.531531,0.531638,0.554512,0.144516,0.60152,0.141776,0.220751,0.612837,0.370235,0.462587,0.11427,0.280256,0.140688,0.601347,0.499313,0.189053,0.245712,0.339029,0.428366,0.420948,-0.0379097,0.371445,0.552352,0.571909,0.0483819,0.580579,0.470575,0.332443,0.622693,0.745838,0.598714,0.16827,0.881696,0.485002,0.438159,0.536812,0.1944,0.59088,0.227099,0.971592,0.40594,0.426677,0.78772,0.635619,0.4467,0.452624,0.155974,0.64052,0.850016,0.0705991,0.831663,0.241234,0.183921,0.108415,0.574209,0.352585,0.341014,0.447745,0.387664,0.503163,0.999791,0.206407,0.251348,0.304592,0.611509,0.680582,0.718074,0.427021] 

--------------------------------------------


CLUSTER-0 {4215,3842,3650,770,111,1023,274,653,1679,1629,2010,3073,2156,2744,1331,2759} 

CLUSTER-1 {4318,4086,3293,4125,809,249,350,4625,2717,4761,1734,2621,1481,3945} 

CLUSTER-2 {1226,419,1519,4023,2611,2680} 

CLUSTER-3 {4996,3501,952,2032,1369,363,1465,237,525,1622,4692,2011,3971,2261,3638,2427,2002} 

CLUSTER-4 {4929,4894,4721,4556,4512,4186,3861,3793,3782,4162,3413,1343,1610,2382,1011,892,2290,917,2563,133,493,2911,2253,1026,1462,257,2508,448,1237,1108,492,478,458,2350,3946,1736,2244,3540,2405,2318,2438,2516,2236,3976} 

CLUSTER-5 {4834,3255,4426,308,659,2343,2864,4458,3787,3028,1813} 

CLUSTER-6 {461,803} 

CLUSTER-7 {4179,4134,4014,3866,3013,1334,611,573,1527,1979} 

CLUSTER-8 {4988,4895,4335,4059,4020,3886,3722,4407,3460,1358,559,4258,1134,1294,4410,1192,3091,1136,1579,4757,83,1035,396,4103,2570,1887,219,1074,327,846,1225,830,3001,2928,298,2950,104,315,1033,565,1496,2369,1781,1980,1837,2713,2042,2130,2245,2362,2451,2461,2546,2792,2617,2802,1895,3152} 

CLUSTER-9 {880,2706} 

CLUSTER-10 {4150,3981,3668,1385,19,3579,1633,2967,1596,3128,539,2231,2849,2725} 

CLUSTER-11 {4519,4349,3273,193,42,563} 

CLUSTER-12 {4702,4614,4593,4384,4953,3884,4669,896,1186,771,4968,1015,881,1036,2233,184,3572,2229,2095,4677,3159,4307,1395,610,749,1142,1399,3801,4939,4466,2699,3076,3386,1196,1826,2541,2137,3470} 

CLUSTER-13 {21} 

CLUSTER-14 {4002,3740,3602,3560,3445,3402,3248,594,1238,1712,2754,1106,2655,2497,435,1689,3434,1052,879,1786,3094,3099} 

CLUSTER-15 {4993,4509,4012,3707,3410,981,2876,2151,3070,3686,236,1525,399,4983,2327,552,1451,1511,4024,4369,3057,295,2720,2773,27,2869} 

CLUSTER-16 {4967,4557,4764,4176,3777,3649,1150,1613,3186,3404,34,1593,442,2642,671,2150,2053,4718,3029,4932} 

CLUSTER-17 {2851,2379,3372,2608,2917,4756,8,506,1061,4069,1693,2627,3077,2197} 

CLUSTER-18 {4123,4419,2766,1472,894,164,228} 

CLUSTER-19 {1197,410,4347} 

CLUSTER-20 {3505,211,371} 

CLUSTER-21 {4926,4601,4141,4998,3673,3476,2517,2575,692,462,2191,58,137,1128,1677,1831,1902,1903,1931,1554,2240,108,2061} 

CLUSTER-22 {4734,4348,4296,4277,4261,4205,4182,4120,4037,3819,3636,3534,3530,3412,3344,3325,3294,146,3431,3880,1043,3089,3133,943,1476,934,914,1340,765,3888,4575,4255,715,709,325,4915,817,4248,1698,183,1253,84,786,1221,4691,861,126,1133,2933,1471,44,497,1384,560,824,1298,1531,425,1784,1740,1777,370,2057,2545,1857,2344,1960,4528,2056,2104,329,2178,2196,2219,4452,2295,2302,3353,2330,2141,2464,2504,2513,2732,2738,3574,2954,3031,576,2157} 

CLUSTER-23 {3280,1394,1738,540,4490,499,1647,2458,2712,2960} 

CLUSTER-24 {3601,2411,2971,4326,3951,2625,4553} 

CLUSTER-25 {4028,3753,3511,608,389,687,645,961,1038,1568,2009,3397} 

CLUSTER-26 {4743,4232,4259,3561,3556,3382,3962,2356,1315,138,88,13,407,2728,337,754,821,134,1821,1656,3865,1805,1600,2121,2140,2767,2446,4287,2650} 

CLUSTER-27 {4633,4206,4042,3829,3238,1287,3850,3830,4015,1793,472,1660,1720,2260,1819,1885,2375,681,2526} 

CLUSTER-28 {3239} 

CLUSTER-29 {4820,4299,4060,4465,566,3306,4240,2834} 

CLUSTER-30 {3857,3736,2120,1722,4102} 

CLUSTER-31 {4219,1970,1293,2564,3093} 

CLUSTER-32 {4760,4482,3734,3630,3559,37,147,2816,3969,4706,1392,697,1505,2579,4477,2183,1697,1723,3909,2772} 

CLUSTER-33 {4709,4607,4488,3512,3375,1122,2047,1280,2643,1406,694,99,144,3905,693,930,1609,1899,1976,4989,2763} 

CLUSTER-34 {342,1641,2551} 

CLUSTER-35 {4850,4432,4358,4636,4082,4417,3911,3890,3702,3562,3254,1411,1368,1270,4011,2080,1024,974,2683,3468,1630,878,245,1256,3025,2216,3428,2626,996,1787,202,2341,668,1145,4903,515,106,355,1715,1152,1912,3611,1944,4119,2814,2162,3161,3038,470,2478,2984} 

CLUSTER-36 {4842,4682,4566,3774,3639,3612,3524,4391,2569,1692,2818,801,790,1973,4753,976,1242,641,1146,235,3519,117,2071,679,1782,4980,1966,2025,2955,2392,3005} 

CLUSTER-37 {4592,4517,4353,4266,4043,4006,3992,3843,3806,3699,2598,1214,1158,1937,3533,4887,732,1638,4530,2507,323,1582,956,1109,190,3114,2195,819,379,1875,1844,3066,338,1418,2837,3525,942,883,4823,3609,3695,1569,3712,1987,1762,1779,1790,680,2588,1174,2036,650,3015,2263,2494,667,1917,2879,459,1499,3168} 

CLUSTER-38 {328} 

CLUSTER-39 {1652} 

CLUSTER-40 {4790,4018,3983,3872,3781,4157,3542,3463,686,1328,1271,4016,2410,1069,1428,2039,3051,24,3464,3129,2901,3672,935,538,766,1204,169,1684,1705,1780,1951,2052,2259,2273,3761,2465,1278,3548} 

CLUSTER-41 {4985,4975,4974,4971,4987,4949,4943,4941,4935,4925,4904,4882,4878,4852,4844,4840,4824,4818,4886,4813,4809,4804,4803,4802,4799,4793,4792,4786,4779,4776,4773,4771,4770,4768,4767,4859,4758,4749,4748,4737,4728,4720,4714,4699,4698,4693,4684,4683,4666,4665,4664,4660,4638,4635,4631,4623,4621,4618,4617,4606,4605,4602,4598,4589,4578,4572,4562,4875,4511,4505,4503,4501,4496,4494,4478,4473,4463,4449,4444,4441,4438,4429,4418,4409,4406,4569,4404,4402,4401,4398,4394,4389,4380,4377,4365,4359,4352,4338,4328,4325,4316,4313,4301,4297,4295,4292,4283,4278,4274,4273,4267,4264,4262,4243,4238,4235,4220,4200,4199,4196,4194,4185,4184,4180,4158,4153,4315,4146,4144,4142,4137,4136,4543,4346,4109,4107,4397,4091,4090,4088,4083,4072,4066,4065,4053,4051,4181,4039,4036,4997,4022,4135,4008,4007,4004,3997,3995,3987,3986,3980,3972,3968,3965,3957,3956,3954,3944,3934,3933,3927,3925,3920,3917,3916,3915,3910,3895,3894,3893,3882,3878,3877,3867,3853,4604,3847,3845,3840,3839,3837,3828,3824,4396,3817,3790,4375,3779,3756,3752,4191,3747,3741,3737,4275,3733,3732,3726,3725,3919,3716,3714,3708,3705,3698,3696,3694,3688,3687,4710,3677,3674,3669,4587,3659,3657,3652,3952,3646,3635,3634,4337,3628,3625,3620,3619,3616,3613,3610,3605,3596,3594,3591,3588,3583,3580,3568,3564,3563,3555,3545,3543,3532,3603,3535,3508,3721,3495,3480,3683,3453,3444,3441,3439,3436,3432,3429,3420,3416,3414,3401,3389,3385,4131,3378,4778,3373,3368,3351,3336,3334,3332,3323,3322,3316,3309,3300,3292,3288,3286,3284,4611,3279,3266,3262,4286,3249,3244,3235,3232,3231,3222,4781,3215,3210,1477,2761,1475,1459,1454,4343,946,3730,1441,908,666,3836,1930,1410,1401,3873,3160,1386,3738,1374,936,1359,1356,1536,1250,2726,4226,2474,1283,4772,1333,1332,1112,4443,4017,1301,1352,1297,2529,4282,438,1292,2865,1266,1264,1262,1311,1251,2613,2757,1243,1190,186,4169,1423,1222,4856,1326,648,2212,1199,159,4455,1388,1185,312,1169,4732,1922,1165,3060,1230,973,3739,3298,1144,4927,1458,4434,1137,3227,1207,1724,853,3010,348,1120,1288,1115,1107,1105,919,1095,4323,2358,4032,3240,1084,4595,2635,3599,2809,3180,1538,3490,1080,4869,4093,1022,4075,1018,2755,1012,1166,4198,2288,1003,989,3111,4641,4902,2213,969,599,760,966,4230,397,3653,3155,3749,1455,1218,259,4719,1584,924,416,3928,4574,793,2764,2309,1400,2656,906,905,2804,69,895,1099,4960,888,886,3922,4890,2797,874,870,792,1424,866,4535,2602,3846,860,856,2132,4705,1079,844,841,3577,814,158,3258,353,810,3103,4800,2945,800,1173,1753,3803,1574,20,3064,516,3982,791,3918,783,782,2998,4096,4010,712,2896,1479,2105,4662,1017,2796,761,2187,209,802,2274,163,741,740,756,2247,1325,731,2237,1405,4811,724,4148,3033,722,4807,716,541,4378,3406,1435,4676,2054,2972,986,324,2454,319,615,1232,1387,1367,309,297,367,1339,495,288,2619,3135,4113,3399,835,273,3792,1228,271,4843,3310,4062,254,1468,1877,4145,1304,413,2227,947,1502,1155,3771,110,2646,3148,1608,1362,218,2823,3290,2615,721,2367,4049,2698,98,1750,1461,579,632,2571,233,828,334,130,4608,4340,2970,3998,415,1452,2985,2364,774,569,1624,66,2083,818,168,1389,181,4696,1860,3329,2853,307,4673,488,843,4759,3827,74,16,148,2060,64,972,3108,619,3631,3622,3209,714,188,2289,4725,4431,804,713,3150,1006,224,1344,3338,417,95,1268,2192,2827,3537,2521,4245,1457,4298,3644,2777,656,1776,755,180,628,1890,258,210,311,391,240,434,1662,1524,1484,4909,197,3964,4622,2542,684,1321,855,763,270,3131,1892,444,4173,1064,2423,606,3975,471,3520,1131,890,2828,3192,11,303,4,91,4522,3941,1869,182,70,1992,1195,222,45,176,3054,4203,3979,1007,304,455,4946,247,14,299,655,868,4670,4920,4899,2705,2017,581,2117,4159,266,4231,526,2672,1550,2138,1143,1470,3176,482,2165,346,382,2226,1547,4688,2432,840,107,189,3183,113,115,1341,1147,3442,2867,4736,4361,2908,1422,4303,119,1828,4646,752,764,1690,652,4656,155,4612,510,3090,1171,834,854,1612,3354,127,123,2490,1114,4928,4457,3172,279,2533,4336,313,4703,958,1975,548,1213,4885,4713,466,3012,4555,743,2417,2758,2687,1618,356,4076,672,3587,1701,3465,2210,1062,1241,192,358,1382,2539,624,4729,2491,73,1921,1730,3174,2976,375,1156,483,90,3062,1348,2855,380,1664,932,385,664,1486,404,4889,2530,4225,2882,636,2055,156,3102,759,421,423,769,1955,187,424,250,649,433,4746,3528,1799,47,2618,898,2663,1818,1673,4356,31,2164,1493,871,368,2015,1100,644,465,216,476,469,487,1959,3021,1699,498,2921,501,2073,2673,2337,511,2923,955,825,3167,4995,523,4467,1081,795,554,616,2830,1076,689,3069,544,568,1571,494,585,3641,627,592,605,1566,3503,1429,556,607,4871,284,4570,2064,703,1761,4105,633,4582,584,675,3400,213,4873,901,3891,2031,1345,97,691,426,3681,2449,698,3169,4586,2860,4599,2254,634,1500,378,1506,2788,1508,784,1514,4507,2810,1517,1965,2008,1414,1542,2319,1551,1553,1555,1560,422,1562,4649,2128,1565,4679,2332,1567,4329,2677,1570,3046,1094,1573,3859,1160,1578,1580,3225,545,2208,701,1588,4317,2007,1590,865,1592,2719,3184,2443,1606,1607,3547,398,2003,3947,2102,1623,1625,1639,2962,4160,2328,1643,1645,2214,1659,460,4923,1669,1670,3647,1676,2321,234,4050,2829,1683,2147,1686,196,1687,1691,4523,1433,1816,1852,2505,267,1714,1985,1718,157,1721,1725,1732,2652,2029,2065,1742,4912,3715,3053,1751,3595,2046,2296,3096,1768,1769,1773,1827,1785,1797,1800,2182,1277,225,4964,1972,3320,1463,2560,1807,1932,1808,1811,1815,310,1822,1824,1825,1862,2721,1842,3158,1843,4247,1850,1855,1934,1864,2422,1874,1881,1882,4271,2863,1888,1891,1127,2898,1894,2868,2453,1729,1908,2874,2791,2686,1926,1927,1936,2388,1945,1949,171,2906,2803,4917,1967,1971,3193,1974,2431,3904,4270,1046,1981,2399,205,4730,4628,751,1995,1996,2523,2005,2087,1495,3438,2014,86,2020,2883,2021,1436,2028,2393,2035,4193,2038,1802,65,2066,2069,3130,2072,4990,2077,2078,2498,2082,2089,1110,2034,4783,2106,2107,343,2110,2415,2112,4415,3154,1279,2587,1649,2123,2125,3985,2126,2127,2139,40,172,316,2160,2161,2163,1507,1282,372,2176,2889,4650,2190,2193,4700,2574,2207,2211,2203,2223,2225,2784,2878,1396,1181,2243,2246,2250,2252,4619,2257,2535,1941,2262,3088,2264,2267,1245,1119,2268,2632,2293,4774,2298,3421,3018,1129,2317,2322,3198,4047,2324,4165,776,2336,2347,3604,2349,3869,2357,4084,2363,2368,2544,2639,2235,2352,2381,3166,3818,2385,2306,2391,4161,1453,2394,2202,4558,3710,2401,2403,2409,1361,2413,4632,2414,3261,2416,3381,2421,2425,2430,2442,3808,2456,2463,4577,2753,2467,2469,2473,1427,2301,2991,4541,2480,2481,2484,4739,1513,2485,762,2501,593,3805,3868,1354,2511,2512,1189,580,2518,331,2811,3823,2528,4868,4642,2532,4515,2169,2534,2538,4064,2265,2552,4529,2340,2554,4475,457,1696,2565,2567,1460,1323,4883,4374,3228,2768,2585,4814,3942,4260,4403,2592,2215,2606,2609,2634,2638,2647,2648,2884,2654,2000,2217,2668,2669,1772,2676,2206,4078,2690,2691,2695,3137,2709,3902,2841,2731,194,3050,2741,2742,2745,2746,4762,2751,2752,4229,2762,3124,3194,2783,1188,2794,2800,2813,2817,2820,2835,998,429,317,4333,2980,2862,1093,2096,2886,2894,2630,10,4766,2899,978,2308,2910,2912,2918,2922,1045,2806,2926,2448,1206,2939,2941,1483,738,2952,2961,2963,2965,967,2969,2975,2977,3107,3027,3923,4147,3002,3003,717,3157,3814,3048,3052,145,1191,3072,3080,3084,103,3105,3451,3112,3550,1492,3136,3139,3143,3171,3173,2333,2932,3200,3202,3204} 

CLUSTER-42 {4354,3820,3392,3645,3214,1380,4151,1067,4849,504,863,2723,100,246,547,2380,30,3565,1654,622,1804,1817,2320,2006,2023,2702,2230} 

CLUSTER-43 {4284,1898,962,2,3558,322,1997} 

CLUSTER-44 {4207,3049,3218} 

CLUSTER-45 {4805,1235,3117,2284,4836,2694} 

CLUSTER-46 {4897,4828,4936,4826,3289,3268,1050,785,711,3633,486,217,3229,1695,4454,1546,1585,1644,1682,1407,4551,3187,2258,2280,4808} 

CLUSTER-47 {4448,4052,727} 

CLUSTER-48 {1907} 

CLUSTER-49 {4067,4563,2158,1295,4832,1533,2555,2016,2419,1532} 

CLUSTER-50 {4956,4661,2589} 

CLUSTER-51 {3961,3717,3326,89,2307,832,3858,1058,1537,2710} 

CLUSTER-52 {4959,4867,3718,4276,3319,4952,3936,3675,139,1938,788,2218,1559,1859,3937,1276,2386,2424,2616} 

CLUSTER-53 {4681,4213,4723,3384,1167,1512,1518,1603} 

CLUSTER-54 {1210,521,696} 

CLUSTER-55 {2238,33,3110,2303,283,3206} 

CLUSTER-56 {4190,3578,4938,726,4884,335,2696,1999} 

CLUSTER-57 {1187,980,918,4795,2185,2426,340,1611,1307,3177,2524,3369,2568,2576,4835} 

CLUSTER-58 {4870,4825,4071,3912,3356,3277,1788,1285,1203,1275,3812,1305,975,2667,1478,1599,720,226,1027,4133,1347,373,269,1873,3123,944,140,2482,154,1812,1529,1182,1118,651,3,1915,1320,1577,1748,1752,3267,1940,2026,4227,2070,4744,2408,2312,2092,2354,2479,1988,2515,1615,2590,683,601,3047,3083,3104,3151,4195} 

CLUSTER-59 {3798,603,1054,557,1896,1545,2224,3197} 

CLUSTER-60 {3243,1381,1244,1743,4034,663,177,1442,2599,2612} 

CLUSTER-61 {4659,4499,3728,3461,80,332,1814,588,897,4830,2603,994,1375,1154,1373,1688,4218,723,1515,1767,1977,2708,2925,2671,4942,3573,3190} 

CLUSTER-62 {4675,4655,4311,3624,4009,4876,3233,131,1060,1219,291,3666,1208,173,1322,549,577,3116,1586,2152,1757,1229,1522,3789,2522,2780,285,2866,3600} 

CLUSTER-63 {4711,4516,4590,4451,3751,3314,1391,1404,2801,450,2701,3642,23,612,4785,3041,546,4280,1798,1838,1049,2355,2978,3009,305,3109} 

CLUSTER-64 {3908,2342,1239,59,1702,1211,1543,3257,3068} 

